46 ('Data Citation ', 'Data Type Registries ')
45 ('Data Citation ', 'Research Data Repository Interoperability ')
42 ('Data Citation ', 'Data Description Registry Interoperability (DDRI) ')
40 ('Data Citation ', 'Metadata Standards Catalog ')
38 ('Data Citation ', 'RDA/WDS Publishing Data Workflows ')
36 ('Data Citation ', 'RDA/WDS Scholarly Link Exchange (Scholix) ')
33 ('DMP Common Standards ', 'Exposing Data Management Plans ')
31 ('Data Citation ', 'Data Versioning ')
29 ('Data Description Registry Interoperability (DDRI) ', 'Data Type Registries ')
28 ('Metadata Standards Catalog ', 'Research Data Repository Interoperability ')
28 ('Data Citation ', 'Research Data Collections ')
27 ('RDA/WDS Publishing Data Workflows ', 'Research Data Repository Interoperability ')
27 ('Data Type Registries ', 'Research Data Repository Interoperability ')
27 ('Data Description Registry Interoperability (DDRI) ', 'Metadata Standards Catalog ')
27 ('Agrisemantics ', 'Wheat Data Interoperability ')
26 ('Data Type Registries ', 'Metadata Standards Catalog ')
25 ('Metadata Standards Catalog ', 'RDA/WDS Publishing Data Workflows ')
24 ('Research Data Collections ', 'Research Data Repository Interoperability ')
22 ('RDA/WDS Scholarly Link Exchange (Scholix) ', 'Research Data Repository Interoperability ')
22 ('Data Description Registry Interoperability (DDRI) ', 'Research Data Repository Interoperability ')
20 ('RDA/WDS Publishing Data Workflows ', 'RDA/WDS Scholarly Link Exchange (Scholix) ')
19 ('RDA/WDS Publishing Data Workflows ', 'Research Data Collections ')
19 ('Data Type Registries ', 'Research Data Collections ')
19 ('Data Description Registry Interoperability (DDRI) ', 'RDA/WDS Publishing Data Workflows ')
19 ('Data Citation ', 'Provenance Patterns ')
19 ('Data Citation ', 'DMP Common Standards ')
18 ('Data Versioning ', 'Research Data Repository Interoperability ')
18 ('Data Type Registries ', 'RDA/WDS Publishing Data Workflows ')
18 ('Data Citation ', 'Data Usage Metrics ')
18 ('Agrisemantics ', 'Rice Data Interoperability ')
17 ('Rice Data Interoperability ', 'Wheat Data Interoperability ')
17 ('Metadata Standards Catalog ', 'Research Data Collections ')
17 ('Data Citation ', 'WDS/RDA Assessment of Data Fitness for Use ')
16 ('RDA/WDS Publishing Data Workflows ', 'WDS/RDA Assessment of Data Fitness for Use ')
16 ('Provenance Patterns ', 'Research Data Collections ')
16 ('Data Description Registry Interoperability (DDRI) ', 'RDA/WDS Scholarly Link Exchange (Scholix) ')
15 ('Data Versioning ', 'Provenance Patterns ')
15 ('Data Versioning ', 'Metadata Standards Catalog ')
15 ('Data Description Registry Interoperability (DDRI) ', 'Provenance Patterns ')
15 ('Agrisemantics ', 'On-Farm Data Sharing (OFDS) ')
14 ('Research Data Repository Interoperability ', 'WDS/RDA Assessment of Data Fitness for Use ')
14 ('Provenance Patterns ', 'Research Data Repository Interoperability ')
14 ('Metadata Standards Catalog ', 'WDS/RDA Assessment of Data Fitness for Use ')
14 ('Metadata Standards Catalog ', 'RDA/WDS Scholarly Link Exchange (Scholix) ')
14 ('Data Usage Metrics ', 'RDA/WDS Scholarly Link Exchange (Scholix) ')
14 ('Data Description Registry Interoperability (DDRI) ', 'Research Data Collections ')
14 ('Data Citation ', 'RDA/CODATA Summer Schools in Data Science and Cloud Computing in the Developing World ')
14 ('DMP Common Standards ', 'Research Data Repository Interoperability ')
13 ('RDA/CODATA Summer Schools in Data Science and Cloud Computing in the Developing World ', 'RDA/WDS Publishing Data Workflows ')
13 ('Metadata Standards Catalog ', 'Provenance Patterns ')
13 ('Data Versioning ', 'Research Data Collections ')
13 ('Data Description Registry Interoperability (DDRI) ', 'Data Versioning ')
13 ('Data Citation ', 'Empirical Humanities Metadata Working Group\n')
12 ('RDA/WDS Scholarly Link Exchange (Scholix) ', 'WDS/RDA Assessment of Data Fitness for Use ')
12 ('RDA / TD', 'Research Data Collections ')
12 ('Exposing Data Management Plans ', 'Research Data Repository Interoperability ')
12 ('Exposing Data Management Plans ', 'RDA/WDS Publishing Data Workflows ')
12 ('Data Type Registries ', 'Provenance Patterns ')
12 ('Data Citation ', 'Persistent Identification of Instruments\n')
12 ('DMP Common Standards ', 'RDA/WDS Publishing Data Workflows ')
12 ('DMP Common Standards ', 'Metadata Standards Catalog ')
11 ('RDA/WDS Scholarly Link Exchange (Scholix) ', 'Research Data Collections ')
11 ('Provenance Patterns ', 'RDA/WDS Publishing Data Workflows ')
11 ('Provenance Patterns ', 'RDA / TD')
11 ('Persistent Identification of Instruments\n', 'Research Data Collections ')
